== Optimized simulation (option2) ==
1000 tasks, 70% IO / 30% CPU, 8 workers, cap 100%
DISPATCH kind=Io cpu_running=1 io_q=62 cpu_q=25 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=67 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=69 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=68 cpu_q=25 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=68 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=68 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=71 cpu_q=25 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=72 cpu_q=26 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=72 cpu_q=26 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=72 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=72 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=76 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=77 cpu_q=26 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=77 cpu_q=26 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=77 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=77 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=78 cpu_q=28 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=79 cpu_q=29 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=79 cpu_q=29 cpu%=40 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=79 cpu_q=28 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=80 cpu_q=27 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=82 cpu_q=28 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=84 cpu_q=29 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=83 cpu_q=29 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=83 cpu_q=28 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=84 cpu_q=28 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=86 cpu_q=29 cpu%=100 busy=5
