elapsed_ms,cpu_pct,workers_active,queue_len
11667,100,5,286
11677,100,5,287
11687,100,5,287
11698,100,5,285
11708,100,5,285
11718,100,5,286
11728,100,5,286
11740,100,5,286
11750,100,5,286
11761,100,5,287
11771,100,5,287
11781,100,5,288
11791,100,5,288
11801,100,5,289
11811,100,5,289
11822,100,5,289
11833,100,5,289
11845,100,5,290
11855,100,5,290
11865,100,5,291
11878,100,5,291
11888,100,5,291
11898,75,5,289
11908,75,5,290
11919,75,5,290
11929,75,5,291
11939,75,5,291
11949,100,5,291
11959,100,5,291
11969,100,5,292
11979,100,5,292
11990,100,5,293
12000,100,5,293
12010,100,5,294
12020,100,5,293
12030,100,5,294
12040,100,5,294
12050,100,5,295
12061,100,5,295
12071,100,5,296
12081,100,5,296
12091,100,5,296
12101,100,5,294
12111,100,5,295
12122,100,5,295
12132,100,5,296
12142,75,5,295
12152,75,5,296
12162,75,5,296
12172,75,5,297
12183,75,5,297
12193,75,5,298
12203,75,5,298
12215,75,5,299
12229,100,5,298
12240,100,5,299
12250,100,5,300
12264,100,5,300
12274,100,5,301
12285,100,5,301
12295,100,5,301
12305,100,5,299
12315,100,5,300
12325,100,5,300
12335,100,5,301
12345,100,5,300
12356,100,5,301
12366,100,5,301
12376,100,5,302
12386,100,5,302
12396,100,5,303
12406,100,5,303
12417,100,5,304
12427,75,5,303
12437,75,5,304
12447,75,5,304
12457,75,5,305
12468,75,5,305
12478,75,5,306
12488,75,5,306
12498,100,5,304
12508,100,5,304
12518,100,5,305
12529,100,5,305
12539,100,5,306
12549,100,5,305
12559,100,5,306
12569,100,5,306
12579,100,5,307
12590,100,5,307
12600,100,5,308
12610,100,5,308
12620,100,5,308
12630,100,5,308
12640,100,5,309
12651,100,5,309
12661,100,5,310
12671,100,5,310
12681,100,5,311
12691,75,5,310
12702,100,5,309
12712,100,5,309
12722,100,5,310
12732,100,5,310
12742,100,5,310
12752,100,5,310
12763,100,5,311
12773,100,5,311
12783,100,5,312
12793,100,5,313
12803,100,5,313
12813,100,5,314
12823,100,5,313
12834,100,5,314
12844,100,5,314
12854,100,5,315
12864,100,5,315
12874,100,5,316
12884,100,5,316
12895,100,5,316
12905,75,5,314
12915,75,5,315
12925,75,5,315
12935,75,5,316
12946,100,5,315
12956,100,5,316
12966,100,5,316
12976,100,5,317
12986,100,5,317
12996,100,5,318
13006,100,5,318
13017,100,5,319
13027,100,5,318
13037,100,5,319
13047,100,5,319
13057,100,5,320
13068,100,5,320
13079,100,5,321
13089,100,5,321
13099,100,5,319
13109,100,5,319
13119,100,5,320
13129,100,5,320
13139,100,5,321
13150,75,5,320
13160,75,5,321
13170,75,5,321
13181,75,5,322
13191,75,5,322
13201,75,5,323
13211,75,5,323
13221,100,5,323
13231,100,5,323
13241,100,5,324
13252,100,5,324
13262,100,5,325
13272,100,5,325
13282,100,5,326
13293,100,5,325
13303,100,5,324
13313,100,5,324
13323,100,5,325
13333,100,5,325
13343,100,5,325
13353,100,5,325
13364,100,5,326
13374,100,5,326
13385,100,5,327
13395,100,5,327
13405,100,5,328
13415,100,5,328
13425,75,5,328
13435,75,5,328
13446,75,5,329
13456,75,5,329
13467,75,5,330
13477,75,5,331
13487,75,5,331
13497,100,5,330
13507,100,5,329
13517,100,5,329
13527,100,5,330
13538,100,5,330
13548,100,5,330
13558,100,5,331
13568,100,5,331
13578,100,5,332
13588,100,5,332
13599,100,5,333
13609,100,5,333
13619,100,5,334
13629,100,5,333
13639,100,5,334
13649,100,5,334
13659,100,5,335
13670,100,5,335
13680,100,5,336
13690,100,5,336
13700,100,5,334
13710,100,5,334
13721,100,5,335
13731,100,5,335
13742,100,5,336
13752,100,5,335
13762,100,5,336
13772,100,5,336
13782,100,5,337
13792,100,5,337
13803,100,5,338
13813,100,5,338
13823,100,5,338
13833,100,5,338
13843,100,5,339
13853,100,5,339
13863,100,5,340
13874,100,5,340
13884,100,5,341
13894,100,5,340
13904,75,5,339
13915,75,5,339
13925,75,5,340
13935,75,5,340
13947,100,5,340
13958,100,5,340
13968,100,5,341
13978,100,5,341
13988,100,5,342
13998,100,5,342
14009,100,5,343
14019,100,5,343
14029,100,5,343
14039,100,5,343
14050,100,5,344
14060,100,5,344
14070,100,5,345
14080,100,5,346
14090,100,5,346
14101,100,5,345
14111,75,5,344
14121,75,5,345
14131,75,5,345
14141,75,5,346
14151,75,5,345
14162,75,5,346
14172,75,5,346
14182,75,5,347
14192,75,5,347
14202,75,5,348
14212,75,5,348
14223,100,5,348
14233,100,5,348
14243,100,5,349
14253,100,5,349
14263,100,5,350
14275,100,5,350
14285,100,5,351
14306,90,4,350
14316,100,5,349
14328,100,5,350
14340,100,5,350
14350,75,5,350
14361,75,5,350
14371,75,5,351
14381,75,5,351
14391,75,5,352
14401,75,5,352
14411,75,5,353
14421,75,5,352
14432,75,5,353
14442,75,5,353
14452,75,5,354
14462,75,5,354
14472,75,5,355
14483,75,5,355
14493,75,5,356
14503,100,5,355
14513,100,5,354
14523,100,5,354
14533,100,5,355
14544,100,5,355
14554,100,5,355
14564,100,5,355
14574,100,5,356
14584,100,5,356
14595,100,5,357
14605,100,5,357
14615,100,5,358
14625,75,5,357
14635,75,5,358
14645,75,5,359
14656,75,5,359
14666,75,5,360
14676,75,5,360
14686,75,5,361
14696,75,5,360
14707,100,5,359
14717,100,5,359
14727,100,5,360
14737,100,5,360
14747,100,5,360
14757,100,5,360
14767,100,5,361
14778,100,5,361
14788,100,5,362
14798,100,5,362
